KEGG Drug ID,Efficacy and Disease
D00143,Prohormone
D00211,"Antibacterial, RNA polymerase inhibitor"
D00506,"Antianxiety, Anticonvulsant, Sedative-hypnotic"
D00163,Anticholelithogenic
D00002,Coenzyme
D02880,"Antineoplastic, Cyclin-dependent kinase (CDK) inhibitor"
D04023,"Antineoplastic, Receptor tyrosine kinase inhibitor"
D04028,"Antiobesity, Pancreatic lipase inhibitor"
D01276,"Antiviral, HIV protease inhibitor"
D03829,"Antiviral, Neuraminidase inhibitor"
D01198,"Cardiotonic, Phosphodiesterase inhibitor"
D01690,"Cardiotonic, Phosphodiesterase inhibitor"
D01712,"Bronchodilator, Phosphodiesterase inhibitor"
D02229,"Vasodilator, Impotence therapy, Phosphodiesterase V inhibitor"
D00653,"Antiglaucoma, Carbonic anhydrase inhibitor"
D01196,"Antiglaucoma, Carbonic anhydrase inhibitor"
D01061,"Antineoplastic, Topoisomerase I inhibitor"
D01432,"Antineoplastic, Topoisomerase I inhibitor"
D01911,"Antineoplastic, Topoisomerase inhibitor"
D01840,"Vasodilator, Rho-associated kinase inhibitor"
D02451,"Antineoplastic, Estrogen biosynthesis inhibitor"
D01973,"Antimigraine, Vasoconstrictor, Serotonin receptor agonist"
D00459,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D00620,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D00621,"Antihypertensive, Vasodilator, Angiotensin-converting enzyme inhibitor"
D00622,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D00623,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D00624,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D01069,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D01119,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D01549,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D01667,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D01900,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D03767,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D03773,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D03775,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D03776,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D02194,"Potentiator (antibacterial), Dehydropeptidase I inhibitor"
D01918,"Anti-inflammatory disease, Elastase inhibitor"
D01981,"Anticoagulant, Thrombin inhibitor"
D01844,"Antithrombotic, Factor Xa inhibitor"
D01688,"Hypoglycemic, Aldose reductase inhibitor"
D01715,"Hypoglycemic, Aldose reductase inhibitor"
D03720,Antineoplastic
D03882,Arachidonate 5-lipoxygenase inhibitor
D01364,Antifungal
D00885,"Antifungal, Ergosterol biosynthesis inhibitor"
D00889,"Antihyperlipidemic, HMG-CoA reductase inhibitor"
D00893,"Antihyperlipidemic, HMG-CoA reductase inhibitor"
D01915,"Antihyperlipidemic, HMG-CoA reductase inhibitor"
D02258,"Antihyperlipidemic, HMG-CoA reductase inhibitor"
D00505,"Antidepressant, Monoamine oxidase (MAO) inhibitor"
D00785,"Antiparkinsonian, Antidyskinetic, Monoamine oxidase B (MAO-B) inhibitor"
D00826,"Antidepressant, Monoamine oxidase (MAO) inhibitor"
D01097,"Antiparkinsonian, Dementia therapeutic agent, Monoamine oxidase B (MAO-B) inhibitor"
D01888,"Antidepressant, Monoamine oxidase (MAO) inhibitor"
D00994,"Antidote (to curare principles), Diagnostic aid (myasthenia gravis)"
D00995,"Parasympathomimetic, Acetylcholinesterase inhibitor"
D00998,"Parasympathomimetic, Acetylcholinesterase inhibitor"
D03350,"Antineoplastic, Receptor tyrosine kinase inhibitor"
D04025,"Antineoplastic, Receptor tyrosine kinase inhibitor"
D02655,Antipsychotic
D02731,"Vasodilator, Impotence therapy, Phosphodiesterase V inhibitor"
D03845,"Antiglaucoma, Carbonic anhydrase inhibitor"
D02168,"Antineoplastic, Topoisomerase I inhibitor"
D03784,"Antineoplastic, Estrogen biosynthesis inhibitor"
D00416,"Antifungal, Ergosterol biosynthesis inhibitor"
D03440,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D03758,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D03763,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D03765,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D00285,Antibacterial
D02487,Antimalarial
D03788,"Anti-inflammatory disease, Elastase inhibitor"
D03722,"Anticoagulant, Thrombin inhibitor"
D03728,"Anticoagulant, Thrombin inhibitor"
D04029,"Anticoagulant, Antithrombotic, Factor Xa inhibitor"
D01842,"Hypoglycemic, Aldose reductase inhibitor"
D02328,"Antidiabetic, Aldose reductase inhibitor"
D02835,"Antidiabetic, Aldose reductase inhibitor"
D03805,"Hypoglycemic, Aldose reductase inhibitor"
D03806,Aldose reductase inhibitor
D03807,"Hypoglycemic, Aldose reductase inhibitor"
D03433,"Antiviral, Maturation inhibitor"
D00887,"Antihyperlipidemic, HMG-CoA reductase inhibitor"
D00892,"Antihyperlipidemic, HMG-CoA reductase inhibitor"
D03601,"Antihyperlipidemic, HMG-CoA reductase inhibitor"
D03816,"Antihyperlipidemic, HMG-CoA reductase inhibitor"
D02562,"Antiparkinsonian, Monoamine oxidase B (MAO-B) inhibitor"
D02563,"Antidepressant, Monoamine oxidase A (MAO-A) inhibitor"
D02564,"Antidepressant, Antihypertensive, Monoamine oxidase (MAO) inhibitor"
D02581,"Antidepressant, Monoamine oxidase A (MAO-A) inhibitor"
D03733,"Antiparkinsonian, Monoamine oxidase B (MAO-B) inhibitor"
D01001,Acetylcholinesterase inhibitor
D01228,Acetylcholinesterase inhibitor
D02068,"Dementia therapeutic agent, Acetylcholinesterase inhibitor"
D02418,Acetylcholinesterase inhibitor (ophthalmic)
D02729,"Prokinetic, Dopamine receptor antagonist"
D03751,"Dementia therapeutic agent, Acetylcholinesterase inhibitor"
D03823,"Dementia therapeutic agent, Acetylcholinesterase inhibitor"
D03826,Acetylcholinesterase inhibitor (ophthalmic)
D00829,"Antineoplastic, Antiprotozoal, Ornithine decarboxylase inhibitor"
D00103,"Pharmaceutic aid (buffering agent, flavor)"
D00158,"Anti-inflammatory, COX inhibitor"
D00169,"Anti-inflammatory, COX inhibitor"
D00566,"Analgesic, Anti-inflammatory, COX inhibitor"
D00813,"Analgesic, Anti-inflammatory, COX inhibitor"
D00827,"Analgesic, Antipyretic, Antirheumatic, COX inhibitor"
D00903,"Anti-inflammatory, COX inhibitor"
D00904,"Analgesic, Anti-inflammatory, Antipyretic, COX inhibitor"
D00970,"Analgesic, Anti-inflammatory, Antipyretic, COX inhibitor"
D01122,"Analgesic, Anti-inflammatory, COX inhibitor"
D01325,"Analgesic, Anti-inflammatory, COX inhibitor"
D01397,"Analgesic, Anti-inflammatory, Antirheumatic, COX inhibitor"
D01475,"Analgesic, COX inhibitor"
D01565,"Analgesic, Anti-inflammatory, COX inhibitor"
D01578,"Analgesic, Anti-inflammatory, Antipyretic, COX inhibitor"
D01718,"Analgesic, Anti-inflammatory, COX inhibitor"
D01974,"Anti-inflammatory, COX-2 inhibitor"
D02110,"Anti-inflammatory, Cardiovascular agent, COX inhibitor"
D02290,"Analgesic, Anti-inflammatory, COX inhibitor"
D02350,"Analgesic, Anti-inflammatory, COX inhibitor"
D02355,"Anti-inflammatory, COX inhibitor"
D03716,"Analgesic, Anti-inflammatory, COX-2 inhibitor"
D03717,"Analgesic, Anti-inflammatory, COX-2 inhibitor"
D03743,"Antihypertensive, Renin inhibitor"
D03745,"Antihypertensive, Renin inhibitor"
D03012,"Antihyperlipidemic, Cholesterol acyltransferase (ACAT) inhibitor"
D03734,"Antihyperlipidemic, Cholesterol acyltransferase (ACAT) inhibitor"
D03735,"Antihyperlipidemic, Cholesterol acyltransferase (ACAT) inhibitor"
D02267,"Antiviral, DNA polymerase inhibitor"
D01747,"Antineoplastic, Topoisomerase II inhibitor"
D02166,"Antineoplastic, Topoisomerase II inhibitor"
D02333,Antibacterial
D03828,"Antineoplastic, Antimetabolite"
D00195,"Analgesic (narcotic), Antitussive, Opioid receptor agonist"
D00611,Antihypertensive
D02204,"Antihypertensive, Nicotinic acetylcholine receptor antagonist"
D02207,Neuromuscular blocking agent
D05453,Anesthetic
D00711,"Anesthetic (intravenous), NMDA receptor antagonist"
D03878,Neuroprotectant
D00633,"Cardiotonic, Dopamine receptor agonist"
D00678,"Anti-emetic, Serotonin 5-HT3 receptor antagonist"
D02461,"Antibacterial, Cell wall biosynthesis inhibitor"
D00642,"Antiarrhythmic, Sodium channel blocker"
D02272,"Antiarrhythmic, Sodium channel blocker"
D00616,"Antiarrhythmic, Antihypertensive, Vasodilator (coronary), Calcium channel blocker"
D00638,"Antiarrhythmic, Sodium channel blocker"
D00619,"Antiarrhythmic, Vasodilator, Calcium channel blocker"
D02261,Antimalarial
D02262,Antimalarial
D00617,"Antihypertensive, Vasodilator, Calcium channel blocker"
D00640,"Antiarrhythmic, Sodium channel blocker"
D00636,"Antiarrhythmic, Potassium channel blocker"
D02092,"Prokinetic, Serotonin receptor agonist"
D02485,Antimalarial
D00326,"Antidepressant, Selective serotonin reuptake inhibitor (SSRI)"
D00798,"Antipsychotic, Sedative-hypnotic, Dopamine D2 receptor antagonist"
D01799,"Antidiabetic, Hypoglycemic, Sulfonylurea receptor agonist"
D01575,"Antiseptic, Disinfectant"
D00799,"Antipsychotic, Sedative-hypnotic, Dopamine D2 receptor antagonist"
D00809,Antidepressant
D00480,"Antiallergic, Anti-emetic, Antiparkinsonian, H1 receptor antagonist"
D00791,"Antipsychotic, Dopamine D2 receptor antagonist"
D00812,"Antidepressant, Serotonin-noradrenaline reuptake inhibitor (SNRI)"
D00816,"Antidepressant, Serotonin-noradrenaline reuptake inhibitor (SNRI)"
D01242,"Antiallergic, H1 receptor antagonist"
D03450,Vasodilator (peripheral)
D00831,Antimalarial
D03037,"Antiarrhythmic, Potassium channel blocker"
D00649,"Diuretic, Epithelial sodium channel blocker"
D00740,Anesthetic (local)
D01350,"Antibacterial (tuberculostatic), Antibiotic, Protein biosynthesis inhibitor"
D00477,"Antiarrhythmic, Sodium channel blocker"
D00639,"Antiarrhythmic, Antihypertensive, Sodium channel blocker"
D00732,Anesthetic (local)
D00735,Anesthetic (topical)
D00738,Anesthetic (local)
D00739,"Analgesic (topical), Anesthetic (topical)"
D00741,Anesthetic (local)
D01243,Anesthetic (local)
D01287,"Anesthetic (local), Analgesic"
D02086,"Anesthetic (local), Antiarrhythmic, Sodium channel blocker"
D02087,"Antiarrhythmic, Sodium channel blocker"
D02088,"Antiarrhythmic, Sodium channel blocker"
D02098,"Anesthetic (topical, ophthalmic)"
D03991,"Antiarrhythmic, Sodium channel blocker"
D01768,Anesthetic (topical)
D00607,"Antihypertensive, alpha-Adrenergic receptor agonist"
D00615,"Antihypertensive, Vasodilator, Calcium channel blocker"
D02914,"Antihypertensive, Vasodilator, Calcium channel blocker"
D05024,"Vasodilator, Calcium channel blocker"
D01969,"Vasodilator, Calcium channel blocker"
D02630,Antipsychotic
D00631,"Antiarrhythmic, Vasodilator (coronary), Calcium channel blocker, Sodium channel blocker, Potassium channel blocker"
D01269,"Overactive bladder agent, Muscarinic acetylcholine receptor antagonist"
D01297,"Antisecretory (gastric acid), Anti-ulcerative, Muscarinic acetylcholine receptor antagonist"
D03654,"Overactive bladder agent, Muscarinic acetylcholine receptor antagonist"
D03210,"Antiviral, CCR5 antagonist"
D02884,"Diuretic, Smooth muscle relaxant"
D00509,"Vasodilator, Diagnostic, alpha-Adrenergic receptor antagonist"
D00604,"Antihypertensive, alpha2-Adrenergic receptor agonist"
D00609,"Antihypertensive, alpha1-Adrenergic receptor antagonist"
D00996,"Vasoconstrictor, Adrenergic receptor agonist"
D01020,"Antihypotensive, alpha1-Adrenergic receptor agonist"
D01022,"Vasoconstrictor, alpha1-Adrenergic receptor agonist"
D01024,"Antidysuria, alpha1-Adrenergic receptor antagonist"
D01051,"Antipsychotic, Dopamine D2 receptor antagonist"
D01358,Antidepressant
D02149,"Vasoconstrictor, Adrenergic receptor agonist"
D01692,"Antidysuria, Antihypertensive, alpha1-Adrenergic receptor antagonist"
D00606,"Antihypertensive, alpha2-Adrenergic receptor agonist"
D02076,"Antiglaucoma, alpha-Adrenergic receptor agonist"
D00483,"Antiarrhythmic, Antihypertensive, Vasodilator, beta-Adrenergic receptor antagonist"
D00598,"Antiglaucoma, Antihypertensive, Vasodilator, beta1-Adrenergic receptor antagonist"
D00601,"Antiarrhythmic, Antihypertensive, Vasodilator, beta1-Adrenergic receptor antagonist"
D00632,"Cardiotonic, beta1-Adrenergic receptor agonist"
D00635,"Antihypertensive, Vasodilator, beta1-Adrenergic receptor antagonist"
D01390,"Antivertigo, Cardiotonic, Bronchodilator, beta-Adrenergic receptor agonist"
D02066,"Bronchodilator, beta-Adrenergic receptor agonist"
D02150,"Bronchodilator, Cardiotonic, beta-Adrenergic receptor agonist"
D02614,"Cardiotonic, beta1-Adrenergic receptor agonist"
D03490,"Antihypertensive, beta1-Adrenergic receptor antagonist"
D03880,"Cardiotonic, beta1-Adrenergic receptor agonist"
D00683,"Bronchodilator, beta2-Adrenergic receptor agonist"
D00684,"Bronchodilator, beta2-Adrenergic receptor agonist"
D00687,"Bronchodilator, beta2-Adrenergic receptor agonist"
D00688,"Bronchodilator, beta2-Adrenergic receptor agonist"
D01386,"Antitussive, Bronchodilator, Adrenergic receptor agonist"
D01462,"Antimigraine, Dopamine receptor agonist"
D02082,"Antihypertensive, Angiotensin II receptor antagonist"
D05246,"Antihypertensive, Angiotensin II receptor antagonist"
D01126,"Antihyperammonemic, Diagnostic agent"
D02278,Supplement (lysine)
D02279,Supplement (lysine)
D03966,"Antianxiety, Smoking cessation adjunct, Metabotropic glutamate receptor agonist"
D00665,"Antiallergic, H1 receptor antagonist"
D00673,"Anti-ulcerative, H2 receptor antagonist"
D03503,"Anti-ulcerative, H2 receptor antagonist"
D00676,"Antimigraine, Vasoconstrictor, Serotonin receptor agonist"
D02826,"Antimigraine, Serotonin receptor agonist"
D05740,"Antimigraine, Vasoconstrictor, Serotonin receptor agonist"
D00674,"Antimigraine, Vasoconstrictor, Serotonin receptor agonist"
D06396,"Anti-emetic, Prokinetic"
D00845,"Analgesic (narcotic), Opioid receptor agonist"
D01236,"Diuretic, Vasopressin receptor antagonist"
D01652,Platelet activating factor antagonist
D02721,"Antihypertensive, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist"
D02725,"Oxytocic, Prostaglandin E2 receptor agonist"
D03187,"Bronchodilator, Prostaglandin E2 receptor agonist"
D01891,"Antisecretory (gastric acid), Anti-ulcerative, Prostaglandin receptor agonist"
D03642,"Immunosuppressant, Thromboxane A2 (TXA2) receptor antagonist"
D00312,"Replenisher (estrogen), Estrogen receptor agonist"
D00962,"Ovulation inducing agent, Gonadotropin stimulant, Estrogen receptor agonist/antagonist"
D02217,"Osteoporosis agent, Selective estrogen receptor modulator (SERM)"
D00730,"Anesthetic (topical), Potassium channel blocker"
D02042,"Cardiotonic, Phosphodiesterase 3 inhibitor"
D03260,"Vasodilator, Impotence therapy, Phosphodiesterase V inhibitor"
D03115,"Vasodilator, Rho-associated kinase inhibitor"
D03778,"Antineoplastic, Estrogen biosynthesis inhibitor"
D03781,Antipsoriatic
D03787,"Cardiotonic, Dopamine beta-hydroxylase inhibitor"
D03756,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D03760,"Antihypertensive, Angiotensin-converting enzyme inhibitor"
D02115,"Antineoplastic, Antimetabolite"
D03803,"Hypoglycemic, Aldose reductase inhibitor"
D03643,"Antihyperlipidemic, HMG-CoA reductase inhibitor"
D02173,"Dementia therapeutic agent, Acetylcholinesterase inhibitor"
D02558,"Dementia therapeutic agent, Acetylcholinesterase inhibitor"
D01984,"Antisecretory (gastric acid), Anti-ulcerative, Proton pump inhibitor"
D00324,"Anti-inflammatory, Glucocorticoid receptor agonist"
D01709,"Analgesic, Anti-inflammatory, Antipyretic, COX inhibitor"
D01765,"Analgesic, Anti-inflammatory, COX inhibitor"
D03741,"Antihypertensive, Renin inhibitor"
D01264,"Antineoplastic, Topoisomerase II inhibitor"
D01275,"Antineoplastic, Topoisomerase II inhibitor"
D02214,"Antineoplastic, Topoisomerase II inhibitor"
D01211,"Anti-anemic (folate deficiency), Antidote (antifolate), Antineoplastic (enhancer), Supplement (folic acid)"
D01453,"Stimulant (central), Adenosine receptor antagonist, Phosphodiesterase inhibitor"
D02409,Stimulant (central)
D02101,"Analgesic (narcotic), Antitussive, Opioid receptor agonist"
D05156,Smoking cessation adjunct
D00759,"Anesthetic (adjunct), Neuromuscular blocking agent"
D00677,"Anti-emetic, Serotonin 5-HT3 receptor antagonist"
D02041,"Anti-emetic, Serotonin 5-HT3 receptor antagonist"
D02253,Sedative-hypnotic
D05461,"Antibacterial, Nucleic acid biosynthesis inhibitor"
D02546,Anthelmintic
D03830,"Antiarrhythmic, Antihypertensive, Vasodilator (coronary), Calcium channel blocker"
D01450,Anesthetic (local)
D01448,"Antipsychotic, Dopamine D2 receptor antagonist"
D02234,"Antiallergic, Antipruritic, H1 receptor antagonist, Serotonin receptor antagonist"
D03274,Antipsychotic
D04034,Antipsychotic
D02163,"Antipsychotic, Dopamine D2 receptor antagonist"
D04048,Anesthetic (local)
D01454,"Antiglaucoma, beta-Adrenergic receptor antagonist"
D03415,"Antihypertensive, alpha1/beta-Adrenergic receptor antagonist"
D03881,"Cardiotonic, beta1-Adrenergic receptor agonist"
D00780,"Antiparkinsonian, Dopamine D2 receptor agonist, Prolactin inhibitor"
D00666,"Antiallergic, H1 receptor antagonist"
D01994,"Prokinetic, Serotonin receptor agonist"
D02250,"Antineoplastic, Antisecretory (hormone), Somatostatin receptor agonist"
D01925,Thyrotropin-releasing hormone receptor agonist
D02007,Thyrotropin-releasing hormone receptor agonist
D02588,Thyrotropin-releasing hormone receptor agonist
